ItemName*Price*Description
CAMPO VIEJO RIOJA BLANCO (SPAIN)*6000*Floral, fresh and fragrant wine.Citrus fruit flavour enhances the Viura’s floral notes while complementing its white fruit.
CAMPO VIEJO RIOJA TEMPRANILLO (SPAIN)*6000*Full bodied,balanced by gentle acidity,ripe tannin,hints of violet, lavender, vanilla, cedar and spice.
CHAMPAGNES & SPARKLING WINES*0*
DOM PERIGNON *74800*Hailing from the Champagne region, it boasts of a complex taste profile with notes of citrus, toasted brioche, and delicate minerality, culminating in a refined and luxurious experience.
ZONIN PROSECCO BRUT*7700*Attractively intense very fruity and aromatic, with hints of rose and cardamom. Very well-balanced, pleasant notes of cherries
MOET & CHANDON BRUT*26500*From the Champagne region, it offers a vibrant taste with notes of green apple, citrus, and a creamy finish, embodying elegance and celebration in every sip.
VILLA SANDI PROSECCO*7700*Fresh, markebly fruity taste with an agreeable elegance and harmonious finish
CHANDON BRUT*6600*Crisp, fresh, classic expression of California vineyards, signature green apple, pear and citrus notes precede a soft, dry finish.
SINGLE MALTS*0*
YAMAZAKI SM*2300*
THE GLENLIVET 18YRS SM*1750*
MACALLAN 12YRS SM*1700*
LAGAVULIN 16 YRS SM*1650*
LAPHROAIG 10 YRS SM*1375*
OBAN 14 YRS SM*1325*
TALISKER 10 YRS SM*975*
THE GLENFIDICH 12 Yrs SM*950*
SINGLETON SM*900*
THE GLENLIVET 12YRS SM*850*
GLENMORANGIE ORIGNAL SM*800*
ABERFEDLY 12YRS SM*775*
INDRI MALT SM*675*
LONGITUDE 77 SM*650*
GODAWAN NO 1 SM*650*
GODAWAN NO 2 SM*650*
SCOTCH WHISKY*0*
J.W BLUE LABEL SM*3100*
DEWARS 21YRS SM*2850*
HIBIKI SM*2300*
CHIVAS REGAL 18 YRS SM*1200*
CHIVAS REGAL 15YRS SM*1075*
GOLD LABEL SM*1075*
DEWARS 18 YEARS SM*1000*
SUNTORY SM*775*
MONKEY SHOULDER SM*725*
J.W BLACK LABEL SM*625*
CHIVAS REGAL 12 YRS SM*625*
DEWARS 15 YEARS SM*600*
TEMPLETON 4YRS RYE SM*600*
DEWARS 12 YRS SM*550*
BALLANTINE 12 YRS SM*500*
TEACHERS 50 SM*450*
BALLANTINE 7YRS SM*450*
DEWARS 8YRS SM*450*
TEACHERS HIGHLAND SM*425*
J & B RARE SM*400*
J W BLONDE SM*400*
BALLANTINE SM*400*
BLACK &WHITE SM*350*
AMERICAN WHISKEY*0*
MAKERS MARK SM*1100*
WOODFORD RESERVE SM*975*
GENTLEMAN JACK SM*700*
JACK DANIELS FIRE SM*650*
JACK DAINIELS HONEY SM*600*
JACK DAINIELS SM*600*
JACK DANIELS APPLE SM*600*
JIM BEAM SM*450*
IRISH WHISKEY*0*
JAMESON BLACK BARREL SM*575*
BUSHMILLS IRISH SM*525*
JAMESON SM*450*
GIN*0*
SIP SMITH SM*1075*
KI NO BI SM*1075*
MONKEY 47 SM*1000*
THE BOTANIST SM*900*
ROKU GIN SM*825*
HENDRICKS SM*775*
TANQUERAY 10 SM*725*
MALFY SM*725*
SABATINI SM*720*
BULL DOG SM*575*
STRAGNERE N SONS SM*450*
BEEFEATER SM*450*
BEEFEATER PINK SM*450*
TANQUERAY SM*450*
HAPUSA SM*450*
BOMBAY SAPPHIRE SM*425*
VODKA*0*
BELUGA SM*1000*
U LUVKA SM*900*
CIROC SM*750*
GREY GOOSE SM*725*
BELVEDERE SM*650*
ABSOLUT ELYX SM*650*
ABSOLUT LIME SM*450*
ABSOLUT SM*425*
KETEL ONE SM*425*
TEQUILA & MEZCAL*0*
AZUL SM*6050*
PATRON ALTO SM*3950*
DON JULIO 1942 SM*3850*
CODIGO BLANCO SM*1550*
CODIGO ROSSA SM*1550*
DON JULIO ANEJO SM*1500*
DON JULIO REPOSADO SM*1350*
1800 COCKTAIL*1325*
PATRON REPOSADO SM*1200*
DON JULIO BLANCO SM*1150*
1800 ANEJO SM*1100*
SALTO MEZCAL SM*1075*
1800 REPOSADO SM*1050*
1800 COCONUT SM*1050*
PATRON SILVER SM*975*
FANDANGO MEZCAL SM*950*
1800 SILVER SM*925*
JOSE CUERVO GOLD SM*525*
JOSE CUERVO SILVER SM*500*
RUM*0*
BACARDI GOLD 10YRS SM*1000*
KRANKEN SM*750*
BACARDI OCHO 8YRS SM*750*
BACARDI ANEJO 4YRS SM*675*
HAVANA CLUB ANEJO SM*600*
BACARDI CARTA BLANCA SM*325*
OLD MONK SM*325*
PITBULL SM*250*
HONEY BEE SM*225*
BACARDI BLACK SM*225*
BEER*0*
PERONI NASTRO AZZURRO*1425*
SINGHA LAGER BEER*1400*
HOEGAARDEN*650*
CORONA*650*
KRONENBERG*575*
M M COFFEE MEAD*550*
M M APPLE CYDER MEAD*550*
TRADITIOAN MEAD*550*
M M LEMON TEA*525*
PERSUE SELTZER*500*
AMSTELL GRANTE*500*
CAN HOEGAARDEN*475*
CAN CORONA*475*
HEINEKEN SILVER*470*
HEINEKEN*450*
KINGFISHER ULTRA*425*
BUDWEISER*400*
GINGER BEER*200*
TAP BEERS*0*
TAP YAVA HEFEWEIZEN PIT*1750*
YAVA PILSNER PIT*1750*
YAVA BASIL PIT*1750*
TAP HEINEKEN SILVER PIT*1650*
TAP KINGFISHER PIT*1200*
DRAUGHT HOEGAARDEN GLS*600*
TAP YAVA HEFEWEIZEN*475*
TAP YAVA BASIL*475*
YAVA PILSNER*475*
TAP HEINEKEN SILVER*450*
TAP KINGFISHER*325*
COGNAC*0*
HENNESSY VSOP SM*1550*
HENNESSY VS SM*900*
LIQUEURS*0*
BULL FROG*825*
ABSINTHE SM*700*
TEQUILA ROSE SM*650*
BAILEYS IRISH CREAM SM*600*
COCALERO SM*600*
JAGERMEISTER SM*575*
MALIBU SM*550*
AMARO SM*550*
LUXURADO CHERRY SM*550*
SAMBUCA SM*500*
SHOTS*0*
JAGER BOMB*650*Jägermeister | Red Bull
X FUSION SM*500*
INCEPTION*450*Gin | Watermelon | Passionfruit Mint | Lime
AIR BRUSHED*450*Vodka | Brandy | Cherry | Rosemary Cinnamon | Cranberry Juice
SHOWOFF*450*White Rum | Brandy Pineapple Juice | Mint | Lime
KAMIKAZE*450*Vodka | Triple Sec | Lime
PURPLE GARNET VODKA*450*Purple Vodka | Peach & Passion Fruit Reduction
PURPLE GARNET GIN*450*Purple Gin | Peach & Passion Fruit Reduction
FIRE BALL SM*425*
B52*600*Bailey’s | Kahlua | Triple Sec
MOCKTAILS*0*
VIRGIN BLOODY MARY*500*
LITTLE FOOT*450*Guava Juice | Tabasco | Lime | Salt
THE MIDAS TOUCH*450*Watermelon | Cucumber | Mint | Orange | Cranberry
KOKUM FIZZ*450*
MOON MAIDEN*450*Cranberry Juice | Litchi | Basil | Sour Mix | Sprite | Soda
SENTOSA*450*Passion Fruit | Mint | Lime | Apple | Soda
SUBLIME*450*Mango | Pineapple | Coriander | Tabasco | Lime | Pink Salt
JAMBOREE*450*Spiced Jamun | Orange | Apple | Basil | Lime
VIRGIN PINACOLADA*450*
FRESH POMEGRANATE JUICE*425*
VIRGIN MOJITO*500*
COFFEE*0*
AFFAGATO*400*
HOT CHOCOLATE*400*
COLD COFFE WITH ALMOND MILK*400*
THE DAILYS SPECIAL C COFFE*350*
MOCHA WITH ALMOND MILK*350*
COLD BREW I AMERICANO*325*
CAPPUCCINO WITH ALMOND MILK*300*
LATTE WITH ALMOND MILK*300*
MOCHA*275*
LATTE*250*
CAPPUCCINO*250*
AMERICANO*225*
EXPRESSO*200*
SOFT BEVERAGES*0*
BANANA PEANUT BUTTER SMOOTHIE*450*
FRESH ORANGE JUICE*425*
PERRIER SPARKLING WATER*425*
KOMBUCH*400*
RED BULL SUGAR FREE*375*
RED BULL*330*
FRESH WATERMELON JUICE*330*
FRESH WATERMELON MINT & CHIA*330*
FRESH WATERMELON CUCUMBER & CHIA*330*
GINGER ALE*200*
TONIC WATER*200*
ICED TEA*200*
MALAKI WATER BTL*200*
DIET COKE*175*
FRESH LIME SODA*150*
FRESH LIME WATER*150*
COKE CAN*150*
SPRITE CAN*150*
APPLE JUICE*125*
ORANGE JUICE*125*
CRANBERRY JUICE*125*
PINEAPPLE JUICE*125*
TEA*0*
PLAIN WHITE TEA*300*
ROOBOIS & ORANGE*275*
FIRST FLUSH LAVENDER LEMONGRASS*250*
GREEN TEA HIBISCUS MINT*250*
FRENCH BREAKFAST*250*
